Siikainen,1860.8
Siikajoki,2463.0
Siikalatva,2168.8
Siilinjärvi,2268.2
Simo,2049.9
Sipoo,2450.7
Siuntio,2023.6
Sodankylä,2187.8
Soini,1697.9
Somero,1964.9
Sonkajärvi,1796.5
Sotkamo,2288.5
Sottunga,613.6
Sulkava,1916.9
Sund,2609.0
Suomussalmi,1841.5
Suonenjoki,1900.5
Sysmä,1907.8
Säkylä,1713.3
Taipalsaari,1800.9
Taivalkoski,2201.2
Taivassalo,1757.2
Tammela,1866.7
Tampere,2057.0
Tervo,1598.0
Tervola,2098.0
Teuva,1848.9
Tohmajärvi,1982.8
Toholampi,2416.7
Toivakka,2057.8
Tornio,1889.4
Turku,1962.7
Tuusniemi,1638.3
Tuusula,2402.4
Tyrnävä,2333.0
Ulvila,1907.5
Urjala,1670.4
Utajärvi,2472.3
Utsjoki,3061.1
Uurainen,2510.2
Nykarleby,2177.1
Uusikaupunki,1772.8
Vaala,2316.6
Vaasa,2470.9
Valkeakoski,2318.7
Vantaa,2124.2
Varkaus,1689.8
Vehmaa,1498.0
Vesanto,1802.9
Vesilahti,2165.3
Veteli,2029.2
Vieremä,2254.3
Vihti,2184.1
Viitasaari,1896.7
Vimpeli,1768.7
Virolahti,2020.6
Virrat,2039.4
Värdä,2794.2
Väyri,2230.8
Ylitornio,1852.0
Ylivieska,2642.6
Yläjärvi,2223.9
Ypäjä,1677.3
ähtäri,1626.2
äänekoski,2003.0
Uusimaa,2216.9
Southwest Finland,1957.3
Satakunta,1873.7
Kanta-Häme,1784.7
Pirkanmaa,2035.9
Päijät-Häme,1862.2
Kymenlaakso,2043.0
South Karelia,1763.3
South Savo,1782.4
North Savo,1987.4
North Karelia,1882.3
Central Finland,1933.5
South Ostrobothnia,2006.4
Ostrobothnia,2312.5
Central Ostrobothnia,2098.0
North Ostrobothnia,2228.0
Kainuu,2435.0
Lapland,2092.2
äland,2520.7
